ObservationDate,Confirmed,Deaths,Recovered,New_Cases,New_Deaths,New_Cases_MA_7,New_Cases_MA_14,New_Cases_MA_30,New_Deaths_MA_7,New_Deaths_MA_14,New_Deaths_MA_30,Anomaly_Cases,Anomaly_Deaths,Z_Score_Cases,Z_Score_Deaths
2020-01-22,555.0,17.0,28.0,0.0,0.0,,,,,,,False,False,,
2020-01-23,653.0,18.0,30.0,98.0,1.0,,,,,,,False,False,,
2020-01-24,941.0,26.0,36.0,288.0,8.0,,,,,,,False,False,,
2020-01-25,1438.0,42.0,39.0,497.0,16.0,,,,,,,False,False,,
2020-01-26,2118.0,56.0,52.0,680.0,14.0,,,,,,,False,False,,
2020-01-27,2927.0,82.0,61.0,809.0,26.0,,,,,,,False,False,,
2020-01-28,5578.0,131.0,107.0,2651.0,49.0,717.5714285714286,,,16.285714285714285,,,True,False,2.143874150161906,1.9224700734500435
2020-01-29,6165.0,133.0,126.0,587.0,2.0,801.4285714285714,,,16.571428571428573,,,False,False,-0.252333127843113,-0.8719222713091854
2020-01-30,8235.0,171.0,143.0,2070.0,38.0,1083.142857142857,,,21.857142857142858,,,False,False,1.0929476163636984,0.9599163483146185
2020-01-31,9925.0,213.0,222.0,1690.0,42.0,1283.4285714285713,,,26.714285714285715,,,False,False,0.47766208744864946,0.8962111080856241
2020-02-01,12038.0,259.0,284.0,2113.0,46.0,1514.2857142857142,,,31.0,,,False,False,0.7293090661463834,0.84875450214375
2020-02-02,16787.0,362.0,472.0,4749.0,103.0,2095.5714285714284,,,43.714285714285715,,,False,False,1.9211538970007118,1.9341277488281114
2020-02-03,19881.0,426.0,623.0,3094.0,64.0,2422.0,,,49.142857142857146,,,False,False,0.5194551112887321,0.48943299086449465
2020-02-04,23892.0,492.0,852.0,4011.0,66.0,2616.285714285714,1666.9285714285713,,51.57142857142857,33.92857142857143,,False,False,0.9761110334339548,0.4652073276220412
2020-02-05,27636.0,564.0,1124.0,3744.0,72.0,3067.285714285714,1934.357142857143,,61.57142857142857,39.07142857142857,,False,False,0.5868014611633257,0.46393411610898605
2020-02-06,30818.0,634.0,1487.0,3182.0,70.0,3226.1428571428573,2154.6428571428573,,66.14285714285714,44.0,,False,False,-0.041399589218526184,0.19282271330356038
2020-02-07,34392.0,719.0,2011.0,3574.0,85.0,3495.285714285714,2389.3571428571427,,72.28571428571429,49.5,,False,False,0.09550534627405745,0.7127149741676934
2020-02-08,37121.0,806.0,2616.0,2729.0,87.0,3583.285714285714,2548.785714285714,,78.14285714285714,54.57142857142857,,False,False,-1.273970736353283,0.6276409666595306
2020-02-09,40151.0,906.0,3244.0,3030.0,100.0,3337.714285714286,2716.6428571428573,,77.71428571428571,60.714285714285715,,False,False,-0.6815477813724456,1.6818979332617174
2020-02-10,42763.0,1013.0,3946.0,2612.0,107.0,3268.8571428571427,2845.4285714285716,,83.85714285714286,66.5,,False,False,-1.2498712176653055,1.4841787754745879
2020-02-11,44803.0,1113.0,4683.0,2040.0,100.0,2987.285714285714,2801.785714285714,,88.71428571428571,70.14285714285714,,False,False,-1.6160919130733993,0.7864948007627273
2020-02-12,45222.0,1118.0,5150.0,419.0,5.0,2512.285714285714,2789.785714285714,,79.14285714285714,70.35714285714286,,True,True,-2.0102997061163617,-2.1222896793518644
2020-02-13,60370.0,1371.0,6295.0,15148.0,253.0,4221.714285714285,3723.9285714285716,,105.28571428571429,85.71428571428571,,True,True,2.2205992408281507,2.0014631931524147
2020-02-14,66887.0,1523.0,8058.0,6517.0,152.0,4642.142857142857,4068.714285714286,,114.85714285714286,93.57142857142857,,False,False,0.3763857748954378,0.49479219779284656
2020-02-15,69032.0,1666.0,9395.0,2145.0,143.0,4558.714285714285,4071.0,,122.85714285714286,100.5,,False,False,-0.48050302102075787,0.2700604372172233
2020-02-16,71226.0,1770.0,10865.0,2194.0,104.0,4439.285714285715,3888.5,,123.42857142857143,100.57142857142857,,False,False,-0.4423879024984975,-0.26114632821973527
2020-02-17,73260.0,1868.0,12583.0,2034.0,98.0,4356.714285714285,3812.785714285714,,122.14285714285714,103.0,,False,False,-0.454133153778468,-0.32274327605121395
2020-02-18,75138.0,2007.0,14352.0,1878.0,139.0,4333.571428571428,3660.4285714285716,,127.71428571428571,108.21428571428571,,False,False,-0.4789310782458208,0.15182858778877148
2020-02-19,75641.0,2122.0,16121.0,503.0,115.0,4345.571428571428,3428.9285714285716,,143.42857142857142,111.28571428571429,,False,False,-0.7510023963136035,-0.5416896549466585
